KẾ HOẠCH HOẠT ĐỘNG KINH DOANH (P/L) NĂM 2026															
															
															
STT	Chỉ tiêu	Năm		Quý 1			Quý 2			Quý 3			Quý 4		
		Số tiền	Tỷ trọng/DT	Tháng 1	Tháng 2	Tháng 3	Tháng 4	Tháng 5	Tháng 6	Tháng 7	Tháng 8	Tháng 9	Tháng 10	Tháng 11	Tháng 12
1	Doanh thu bán hàng và cung cấp dịch vụ	5,827,972,544		12,000,000	27,000,000	107,000,000	210,000,000	289,200,000	387,840,000	513,208,000	615,649,600	730,579,520	863,495,424	986,000,000	1,086,000,000
2	Các khoản giảm trừ doanh thu	0		0	0	0	0	0	0	0	0	0	0	0	0
3	Doanh thu thuần về bán hàng và cung cấp dịch vụ	5,827,972,544		12,000,000	27,000,000	107,000,000	210,000,000	289,200,000	387,840,000	513,208,000	615,649,600	730,579,520	863,495,424	986,000,000	1,086,000,000
4	Giá vốn hàng bán	2,114,875,000	36%	33,875,000	37,000,000	115,000,000	142,750,000	160,500,000	176,875,000	197,500,000	218,125,000	237,125,000	262,750,000	270,125,000	263,250,000
4.1	Giá vốn CNTT  + Nhân công			33,875,000	37,000,000	115,000,000	142,750,000	160,500,000	176,875,000	197,500,000	218,125,000	237,125,000	262,750,000	270,125,000	263,250,000
5	Lợi nhuận gộp về bán hàng và cung cấp dịch vụ	3,713,097,544	64%	-21,875,000	-10,000,000	-8,000,000	67,250,000	128,700,000	210,965,000	315,708,000	397,524,600	493,454,520	600,745,424	715,875,000	822,750,000
6	Doanh thu hoạt động tài chính	-		0	0	0	0	0	0	0	0	0	0	0	0
7	Chi phí tài chính	-		0	0	0	0	0	0	0	0	0	0	0	0
8	Chi phí bán hàng	1,809,244,921	31%	26,020,000	27,895,000	50,505,000	84,800,000	102,362,000	149,320,400	155,623,480	173,575,176	241,237,211	226,426,653	254,490,000	316,990,000
9	Chi phí quản lý doanh nghiệp	1,897,879,451	33%	16,660,000	56,960,000	93,190,000	112,775,000	119,304,000	141,936,800	153,174,160	155,007,992	160,961,590	167,919,908	170,370,000	549,620,000
10	Lợi nhuận thuần từ hoạt động kinh doanh	5,973,172	0%	-64,555,000	-94,855,000	-151,695,000	-130,325,000	-92,966,000	-80,292,200	6,910,360	68,941,432	91,255,718	206,398,862	291,015,000	-43,860,000
11	Thu nhập khác	-													
12	Chi phí khác	-													
13	Lợi nhuận khác	-		0	0	0	0	0	0	0	0	0	0	0	0
14	Tổng lợi nhuận kế toán trước thuế	5,973,172	7%	-64,555,000	-94,855,000	-151,695,000	-130,325,000	-92,966,000	-80,292,200	6,910,360	68,941,432	91,255,718	206,398,862	291,015,000	-43,860,000
